stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6263,6263,Bedford Hwy Before River Ln (6263),,44.737592,-63.654209,,,,,,0
6264,6264,Bedford Hwy Before Watervista Ln (6264),,44.678845,-63.650692,,,,,,0
6265,6265,Bedford Hwy After Valley Rd (6265),,44.717263,-63.676799,,,,,,0
6266,6266,Bedford Hwy Before Oakmount Dr (6266),,44.740349,-63.654831,,,,,,0
6267,6267,Cobequid Rd After Nelson Dr (6267),,44.760834,-63.656806,,,,,,0
6268,6268,Bedford Hwy Before Kearney Lake Rd (6268),,44.68174,-63.65964,,,,,,0
6269,6269,Bedford Hwy After Bayview Rd (6269),,44.665748,-63.63626,,,,,,0
6270,6270,Bedford Hwy Before Dartmouth Rd (6270),,44.733297,-63.656017,,,,,,0
6271,6271,Bedford Hwy After Civic 741  (6271),,44.706829,-63.664487,,,,,,0
6272,6272,Bedford Hwy After Larry Uteck Blvd (6272),,44.698192,-63.661086,,,,,,0
6273,6273,Bedford Hwy At Fern Ave (6273),,44.704905,-63.663308,,,,,,0
6274,6274,Bedford Hwy Before Glenmont Ave (6274),,44.709489,-63.668727,,,,,,0
6275,6275,Bedford Hwy Before Kearney Lake Rd (6275),,44.682725,-63.660823,,,,,,0
6276,6276,Bedford Hwy At Kent Ave (6276),,44.690777,-63.659964,,,,,,0
6277,6277,Bedford Hwy Before Lindsay Hill (6277),,44.721694,-63.671313,,,,,,0
6278,6278,Bedford Hwy Before Sullivans Hill (6278),,44.723164,-63.67036,,,,,,0
6279,6279,Bedford Hwy After Torrington Dr (6279),,44.679991,-63.653828,,,,,,0
6280,6280,Bedford Hwy Before Valley Rd (6280),,44.717178,-63.677225,,,,,,0
6281,6281,Bedford Hwy After Rocky Lake Rd (6281),,44.73535,-63.654914,,,,,,0
6282,6282,Bedford Hwy Before Hatchery Ln (6282),,44.728836,-63.6633,,,,,,0
6283,6283,Bedford Hwy Opposite Fourth St (6283),,44.723963,-63.669812,,,,,,0
6284,6284,Bedford Hwy Opposite Glenmont Ave (6284),,44.709517,-63.668631,,,,,,0
6285,6285,Bedford Hwy After Hatchery Ln (6285),,44.728851,-63.663521,,,,,,0
6286,6286,Bedford Hwy Before Seton Rd (6286),,44.670331,-63.641364,,,,,,0
6287,6287,Bedford Hwy After Charlotte Ln (6287),,44.69657,-63.660663,,,,,,0
6288,6288,Bedford Hwy After Watervista Ln (6288),,44.679045,-63.650786,,,,,,0
6289,6289,Bedford Hwy Before Bayview Rd (6289),,44.665395,-63.635581,,,,,,0
6290,6290,Bedford Hwy Before Southgate Dr (6290),,44.710751,-63.670791,,,,,,0
6291,6291,Bell Rd After Robie St (6291),,44.646972,-63.58876,,,,,,0
6292,6292,Belle Vista Dr After Woodlawn Rd (6292),,44.677393,-63.527154,,,,,,0
6293,6293,Belle Vista Dr At Civic 35 (6293),,44.680307,-63.515089,,,,,,0
6294,6294,Belle Vista Dr After Spring Ave (6294),,44.678722,-63.517836,,,,,,0
6296,6296,Berts Dr Before Main Ave (6296),,44.659321,-63.637013,,,,,,0
6302,6302,Boland Rd Before Ranya Ln (6302),,44.672769,-63.580716,,,,,,0
6303,6303,Boland Rd Before Victoria Rd (6303),,44.675088,-63.578109,,,,,,0
6304,6304,Boland Rd After Cairn St (6304),,44.673627,-63.579696,,,,,,0
6305,6305,Booth St After Scotsburn Ave (6305),,44.687878,-63.525536,,,,,,0
6306,6306,Booth St After Main St (6306),,44.685941,-63.524136,,,,,,0
6307,6307,Bradorian Dr Opposite Madeira Cr (6307),,44.689456,-63.485742,,,,,,0
6308,6308,Bradorian Dr Before Madeira Cr (6308),,44.692811,-63.487607,,,,,,0
6311,6311,Prince Albert Rd After Bartlin Rd (6311),,44.679855,-63.549085,,,,,,0
6312,6312,Braemar Dr Before Creelman Dr (6312),,44.691245,-63.546257,,,,,,0
6313,6313,Braemar Dr Before Braeside Ct (6313),,44.686099,-63.547324,,,,,,0
6314,6314,Braemar Dr After Maple Dr (6314),,44.688216,-63.546857,,,,,,0
6315,6315,Brentwood Ave Before Greenwood Ave (6315),,44.654985,-63.733489,,,,,,0
6316,6316,Brentwood Ave Before Eisener St (6316),,44.653071,-63.736304,,,,,,0
6317,6317,Brentwood Ave After Rosewood Ave (6317),,44.654802,-63.733715,,,,,,0
6318,6318,Brentwood Ave After Eisener St (6318),,44.653385,-63.735603,,,,,,0
6319,6319,Broadholme Ln After Kearney Lake Rd (6319),,44.683574,-63.673567,,,,,,0
6320,6320,Broadholme Ln Before Wedgewood Ave (6320),,44.682514,-63.671497,,,,,,0
6321,6321,Brookfield Ave After Caldwell Rd (6321),,44.651527,-63.485158,,,,,,0
6322,6322,Brookfield Ave Before Willowdale Dr (6322),,44.65254,-63.483694,,,,,,0
6323,6323,Brownlow Ave After Commodore Dr (6323),,44.698575,-63.580662,,,,,,0
6325,6325,Brownlow Ave At Civic 250 (6325),,44.695136,-63.577614,,,,,,0
